Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
M3212N,,1884494,635662337,CAMERON WILLIAM BLACKWOOD,ComposerLyricist
Z5134K,,1755989,,ZI YE,Composer
Z5134K,,1945121,,HANG XU,Composer
EA0CRT,T9170243024,1879003,69001397,JAMES E. CURNOW,Composer
AC10NE,,4945860,1030954879,MATTHEW CARTER,ComposerLyricist
SH9S46,T0020716066,5682484,21113749,JECHIEL MOHAR,Lyricist
C8695W,,616323,344554265,"UNIVERSAL MUSICA, INC.",RightsAdministrator
WV7RTN,,631707,223437493,EMI BLACKWOOD MUSIC INC,RightsAdministrator
A5303N,T9033808058,6373381,1069770524,ARPEJ YAPIM MUZIK TICARET LIMITED SIRKETI,OriginalPublisher
X8995F,,631707,223437493,EMI BLACKWOOD MUSIC INC,RightsAdministrator
H2413E,T0006146662,619871,353570366,SONGS OF WINDSWEPT PACIFIC,RightsAdministrator
X8133R,T0023938626,615199,353265272,UNIVERSAL - SONGS OF POLYGRAM INTERNATIONAL INC,SubPublisher
MB5O6T,T3088271921,6441088,1048499426,SABINE INDRIKSONE-MOORE,ComposerLyricist
B7788J,,861339,338164558,SONY/ATV TUNES LLC,RightsAdministrator
JV7AQI,,944370,603703680,MUSIC BY GREENSLEEVES,OriginalPublisher
H2413E,T0006146662,752653,601191692,BMG GOLD SONGS,RightsAdministrator
X19932,,955390,272875826,OSMAN ISMEN,Composer
E58791,T0700518075,931410,130254520,BANGOPHILE MUSIC,OriginalPublisher
MV9HTC,,943866,141330620,ALIENTEEN MUSIC,OriginalPublisher
PV7DOZ,,906396,,1545 PUB,OriginalPublisher
Z5134K,,926076,60796953,WC MUSIC CORP,RightsAdministrator
DB19DT,,926076,60796953,WC MUSIC CORP,OriginalPublisher
AB0JSS,,1123428,661463739,OR KRIBOS,ComposerLyricist
JV7AQI,,1425044,500867959,LAMONT ST. PARTICK SAVORY,ComposerLyricist
HA3PQS,,1452917,565612344,KYE ELLIOTT SONES,Composer
LV7H1V,,1552636,494477406,ADRIAN BOLLAND,Composer
N7073M,T9109442413,1126375,707372251,ANDREI TIBERIU MARIA,Composer
H2413E,T0006146662,833665,356211188,CHRISTOPHER MATTHEW MUSIC,OriginalPublisher
O55412,T9142912503,472435,178209354,SIMON ANTONY RATCLIFFE,Composer
IV7NQB,,2887844,445881723,KLAVERTJE VIER MUSIC,OriginalPublisher
G24479,T9068821090,324398,2961801,MICHAEL JOE JACKSON,ComposerLyricist
CV9NOX,,324150,338867416,GLENN DAVID SCHLOSS,ComposerLyricist
PA3PSJ,,2553805,14581699,GABRIELE DUCROS,Composer
FVAZOD,,2739141,,AXS,OriginalPublisher
RA8A02,,2743528,276314560,SONOTON MUSIC GMBH CO KG,OriginalPublisher
AC10NE,,4607220,668859274,ALIBOTS,OriginalPublisher
N7073M,T9109442413,457296,684433621,ROTON MUSIC PUBLISHING SR,OriginalPublisher
AB0JSS,,4088855,640537754,OR CHAUSHA,ComposerLyricist
MV9V0W,T3059392524,428305,697862766,YASMINE MIA STEELE,ComposerLyricist
SD745Y,T9027459445,1764269,22168708,VACLAV NELHYBEL,ComposerLyricist
I19488,T0714971615,1884442,,JARVIS EDWARD COOPER,ComposerLyricist
W67290,,1891767,,R. JONES,Composer
TD5ROU,T0713415485,493050,126147592,RICK RHODES,ComposerLyricist
W67290,,5330692,1057423275,Regard Music,OriginalPublisher
TD5ROU,T0713415485,516258,232509885,RON D KOMIE,ComposerLyricist
KF5HDW,T9098752148,5702454,430245400,CANTUS D.O.O.,OriginalPublisher
A5303N,T9033808058,5352202,,MUSIKI ESERI SAHIPLERI GRUBU MESLEK BIRLIGI,OriginalPublisher
KF5HDW,T9098752148,5627887,23425124,BORIS PAPANDOPULO,Composer
DA272K,T9202896068,2062051,218728848,ERIC BENJAMIN TURNER,ComposerLyricist
H2413E,T0006146662,619871,353570366,SONGS OF WINDSWEPT PACIFIC,OriginalPublisher
M3212N,,628988,744673419,BMG MONARCH,RightsAdministrator
Z1167T,,700050,488291213,PIGFACTORY USA LLC,RightsAdministrator
H2413E,T0006146662,91146,289980982,JAHQAE JOINTS,OriginalPublisher
W7583A,,767153,15357991,JOBETE MUSIC CO INC,RightsAdministrator
SVEVXM,T8039658942,928723,9006911,ECHO MUSIKVERLAG GMBH,OriginalPublisher
E64686,T0465284858,862897,,CUATRO ZONAS S.A.,OriginalPublisher
DB19DT,,979850,538500068,HAYLEY MARIE WARNER,ComposerLyricist
X19932,,746379,670513949,ULTRA TUNES,RightsAdministrator
G24479,T9068821090,834710,187062752,SONY/ATV SONGS LLC (NON-REP),RightsAdministrator
